taxonID	property	value	remarks
3503	CITES	Appendix II	Appendix II:Included in Pythonidae spp.
3504	CITES	Appendix II	Appendix II:Excludes fossils.
3505	CITES	Appendix II	Appendix II:Excludes fossils.
3508	CITES	Appendix II	Appendix II:Excludes fossils.
3513	CITES	Appendix II	Appendix II:Formerly included in Dendrobates spp.
3514	CITES	Appendix II	
3518	CITES	Appendix II	Appendix II:Excludes fossils.
3521	CITES	Appendix II	
3522	CITES	Appendix II	
3524	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3527	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3529	CITES	Appendix II	Appendix II:Excludes fossils.
3530	CITES	Appendix II	
3533	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3537	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3538	CITES	Appendix II	Appendix II:Excludes fossils.
3540	CITES	Appendix II	Appendix II:Excludes fossils.
3542	CITES	Appendix II	Appendix II:Excludes fossils.
3544	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3545	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3547	CITES	Appendix II	
3550	CITES	Appendix II	Appendix II:Excludes fossils.
3551	CITES	Appendix II	Appendix II:Excludes fossils.
3555	CITES	Appendix II	
3556	CITES	Appendix II	Appendix II:Excludes fossils.
3557	CITES	Appendix II	
3558	CITES	Appendix II	Appendix II:Excludes fossils.
3559	CITES	Appendix II	Appendix II:Excludes fossils.
3560	CITES	Appendix II	Appendix II:Excludes fossils.
3562	CITES	Appendix II	
3564	CITES	Appendix II	Appendix II:Excludes fossils.
3565	CITES	Appendix II	Appendix II:Excludes fossils.
3567	CITES	Appendix II	
3568	CITES	Appendix II	
3569	CITES	Appendix II	Appendix II:Excludes fossils.
3572	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3573	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3575	CITES	Appendix II	
3580	CITES	Appendix II	Appendix II:Excludes fossils.
3582	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3583	CITES	Appendix II	
3584	CITES	Appendix II	Appendix II:Excludes fossils.
3585	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3588	CITES	Appendix II	Appendix II:Excludes fossils.
3590	CITES	Appendix II	
3591	CITES	Appendix II	Appendix II:Excludes fossils.
3594	CITES	Appendix II	
3596	CITES	Appendix II	
3597	CITES	Appendix II	Appendix II:Excludes fossils.
3600	CITES	Appendix II	
3601	CITES	Appendix II	Appendix II:Formerly included in Kachuga spp.
3604	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3607	CITES	Appendix II	
3608	CITES	Appendix II	
3609	CITES	Appendix II	Appendix II:Formerly included in Aceros spp.
3612	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3613	CITES	Appendix II	Appendix II:Formerly included in Dendrobates spp.
3614	CITES	Appendix II	Appendix II:Excludes fossils.
3615	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3616	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3617	CITES	Appendix II	Appendix II:Excludes fossils.
3618	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3619	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3622	CITES	Appendix II	Appendix II:Included in Boidae spp.
3623	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3624	CITES	Appendix II	
3626	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3628	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3629	CITES	Appendix II	Appendix II:Formerly included in Dendrobates spp.
3630	CITES	Appendix II	Appendix II:Included in Tauraco spp.
3632	CITES	Appendix II	Appendix II:Excludes fossils.
3634	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3635	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3639	CITES	Appendix II	Appendix II:Included in Tauraco spp.
3640	CITES	Appendix II	Appendix II:Excludes fossils.
3645	CITES	Appendix II	Appendix II:Excludes fossils.
3647	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3648	CITES	Appendix II	
3651	CITES	Appendix II	Appendix II:Excludes fossils.
3652	CITES	Appendix II	
3653	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3654	CITES	Appendix II	
3656	CITES	Appendix II	Appendix II:Except Pteropus brunneus and the species included in Appendix I.
3660	CITES	Appendix II	Appendix II:Excludes fossils.
3661	CITES	Appendix II	
3662	CITES	Appendix II	Appendix II:Excludes fossils.
3664	CITES	Appendix II	Appendix II:Excludes fossils.
3665	CITES	Appendix II	Appendix II:Excludes fossils.
3666	CITES	Appendix II	
3667	CITES	Appendix II	
3669	CITES	Appendix II	
3671	CITES	Appendix II	Appendix II:Excludes fossils.
3675	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3678	CITES	Appendix II	Appendix II:Except the species included in Appendix I; zero quota for wild specimens for commercial purposes for Cuora aurocapitata, C. flavomarginata, C. mccordi, C. mouhotii, C. pani, C. trifasciata, C. yunnanensis and C. zhoui.
3679	CITES	Appendix II	Appendix II:Excludes fossils.
3680	CITES	Appendix II	
3682	CITES	Appendix II	
3684	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3686	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3688	CITES	Appendix II	
3690	CITES	Appendix II	Appendix II:Excludes fossils.
3691	CITES	Appendix II	Appendix II:Excludes fossils.
3694	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3695	CITES	Appendix II	
3696	CITES	Appendix II	
3700	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3702	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3703	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3704	CITES	Appendix II	Appendix II:Except the species included in Appendix I. A zero annual export quota has been established for Centrochelys sulcata for specimens removed from the wild and traded for primarily commercial purposes.
3706	CITES	Appendix II	Appendix II:Includes Brachypelmides.
3707	CITES	Appendix II	
3708	CITES	Appendix II	
3709	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3710	CITES	Appendix II	
3711	CITES	Appendix II	Appendix II:Excludes fossils.
3713	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3714	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3719	CITES	Appendix II	Appendix II:Included in Tauraco spp.
3720	CITES	Appendix II	
3722	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3723	CITES	Appendix II	Appendix II:Formerly included in Boidae spp.
3725	CITES	Appendix II	Appendix II:Included in SCANDENTIA spp.
3727	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3730	CITES	Appendix II	Appendix II:Excludes fossils.
3731	CITES	Appendix II	Appendix II:Tupinambis merianae (Duméril & Bibron, 1839) was until 1 August 2000 listed as Tupinambis teguixin (Linnaeus, 1758). Tupinambis teguixin (Linnaeus, 1758) was until 1 August 2000 listed as Tupinambis nigropunctatus (Spix, 1824).
3732	CITES	Appendix II	
3733	CITES	Appendix II	
3734	CITES	Appendix II	
3736	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3737	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3738	CITES	Appendix II	Appendix II:Excludes fossils.
3739	CITES	Appendix II	Appendix II:Excludes fossils.
3740	CITES	Appendix II	Appendix II:Formerly included in Boidae spp.
3741	CITES	Appendix II	
3744	CITES	Appendix II	
3748	CITES	Appendix II	Appendix II:Excludes fossils.
3749	CITES	Appendix II	Appendix II:Included in Arctocephalus spp.
3750	CITES	Appendix II	Appendix II:Excludes fossils.
3753	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3754	CITES	Appendix II	Appendix II:Excludes fossils.
3756	CITES	Appendix II	
3758	CITES	Appendix II	
3759	CITES	Appendix II	Appendix II:Excludes fossils.
3760	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3762	CITES	Appendix II	
3764	CITES	Appendix II	Appendix II:Excludes fossils.
3765	CITES	Appendix II	
3766	CITES	Appendix II	Appendix II:Excludes fossils.
3768	CITES	Appendix II	Appendix II:Excludes fossils.
3770	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3771	CITES	Appendix II	Appendix II:Excludes fossils.
3772	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3773	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3774	CITES	Appendix II	Appendix II:Excludes fossils.
3776	CITES	Appendix II	
3779	CITES	Appendix II	Appendix II:Excludes fossils.
3781	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
